insee;commune;date;UV_J0;UV_J1;UV_J2;UV_J3
01182;GROSLEE;2024-01-18;0;1;1;;
01183;GUEREINS;2024-01-18;1;1;1;;
01184;HAUTECOURT-ROMANECHE;2024-01-18;1;1;1;;
01185;HAUTEVILLE-LOMPNES;2024-01-18;0;1;1;;
01186;HOSTIAS;2024-01-18;0;1;1;;
01187;HOTONNES;2024-01-18;0;1;1;;
01188;ILLIAT;2024-01-18;1;1;1;;
01189;INJOUX-GENISSIAT;2024-01-18;0;1;1;;
01190;INNIMOND;2024-01-18;0;1;1;;
01191;IZENAVE;2024-01-18;0;1;1;;
01192;IZERNORE;2024-01-18;1;1;1;;
01193;IZIEU;2024-01-18;1;1;1;;
01194;JASSANS-RIOTTIER;2024-01-18;1;1;1;;
01195;JASSERON;2024-01-18;1;1;1;;
01196;JAYAT;2024-01-18;1;1;1;;
01197;JOURNANS;2024-01-18;1;1;1;;
01198;JOYEUX;2024-01-18;1;1;1;;
01199;JUJURIEUX;2024-01-18;1;1;1;;
01200;LABALME;2024-01-18;1;1;1;;
01202;LAGNIEU;2024-01-18;1;1;1;;
01203;LAIZ;2024-01-18;1;1;1;;
01204;LALLEYRIAT;2024-01-18;0;1;1;;
01205;LANCRANS;2024-01-18;0;1;1;;
01206;LANTENAY;2024-01-18;0;1;1;;
01207;LAPEYROUSE;2024-01-18;1;1;1;;
01208;LAVOURS;2024-01-18;0;1;1;;
01209;LEAZ;2024-01-18;0;1;1;;
01210;LELEX;2024-01-18;0;1;1;;
01211;LENT;2024-01-18;1;1;1;;
01212;LESCHEROUX;2024-01-18;1;1;1;;
01213;LEYMENT;2024-01-18;1;1;1;;
01214;LEYSSARD;2024-01-18;1;1;1;;
01215;LHOPITAL;2024-01-18;0;1;1;;
01216;LHUIS;2024-01-18;0;1;1;;
01218;LOCHIEU;2024-01-18;0;1;1;;
01219;LOMPNAS;2024-01-18;0;1;1;;
01221;LOMPNIEU;2024-01-18;0;1;1;;
01224;LOYETTES;2024-01-18;1;1;1;;
01225;LURCY;2024-01-18;1;1;1;;
01227;MAGNIEU;2024-01-18;0;1;1;;
01228;MAILLAT;2024-01-18;1;1;1;;
01229;MALAFRETAZ;2024-01-18;1;1;1;;
01230;MANTENAY-MONTLIN;2024-01-18;1;1;1;;
01231;MANZIAT;2024-01-18;1;1;1;;
01232;MARBOZ;2024-01-18;1;1;1;;
01233;MARCHAMP;2024-01-18;0;1;1;;
01234;MARIGNIEU;2024-01-18;0;1;1;;
01235;MARLIEUX;2024-01-18;1;1;1;;
01236;MARSONNAS;2024-01-18;1;1;1;;
01237;MARTIGNAT;2024-01-18;1;1;1;;
01238;MASSIEUX;2024-01-18;1;1;1;;
01239;MASSIGNIEU-DE-RIVES;2024-01-18;0;1;1;;
01240;MATAFELON-GRANGES;2024-01-18;1;1;1;;
01241;MEILLONNAS;2024-01-18;1;1;1;;
01242;MERIGNAT;2024-01-18;1;1;1;;
01243;MESSIMY-SUR-SAONE;2024-01-18;1;1;1;;
01244;MEXIMIEUX;2024-01-18;1;1;1;;
01245;BOHAS-MEYRIAT-RIGNAT;2024-01-18;1;1;1;;
01246;MEZERIAT;2024-01-18;1;1;1;;
01247;MIJOUX;2024-01-18;0;1;1;;
01248;MIONNAY;2024-01-18;1;1;1;;
01249;MIRIBEL;2024-01-18;1;1;1;;
01250;MISERIEUX;2024-01-18;1;1;1;;
01252;MOGNENEINS;2024-01-18;1;1;1;;
01254;MONTAGNAT;2024-01-18;1;1;1;;
01255;MONTAGNIEU;2024-01-18;0;1;1;;
01257;MONTANGES;2024-01-18;0;1;1;;
01258;MONTCEAUX;2024-01-18;1;1;1;;
01259;MONTCET;2024-01-18;1;1;1;;
01260;LE_MONTELLIER;2024-01-18;1;1;1;;
01261;MONTHIEUX;2024-01-18;1;1;1;;
01262;MONTLUEL;2024-01-18;1;1;1;;
01263;MONTMERLE-SUR-SAONE;2024-01-18;1;1;1;;
01264;MONTRACOL;2024-01-18;1;1;1;;
01265;MONTREAL-LA-CLUSE;2024-01-18;1;1;1;;
01266;MONTREVEL-EN-BRESSE;2024-01-18;1;1;1;;
01267;NURIEUX-VOLOGNAT;2024-01-18;1;1;1;;
01268;MURS-ET-GELIGNIEUX;2024-01-18;1;1;1;;
01269;NANTUA;2024-01-18;0;1;1;;
01271;NATTAGES;2024-01-18;0;1;1;;
01272;NEUVILLE-LES-DAMES;2024-01-18;1;1;1;;
01273;NEUVILLE-SUR-AIN;2024-01-18;1;1;1;;
01274;LES_NEYROLLES;2024-01-18;0;1;1;;
01275;NEYRON;2024-01-18;1;1;1;;
01276;NIEVROZ;2024-01-18;1;1;1;;
01277;NIVOLLET-MONTGRIFFON;2024-01-18;1;1;1;;
01279;ONCIEU;2024-01-18;1;1;1;;
01280;ORDONNAZ;2024-01-18;0;1;1;;
01281;ORNEX;2024-01-18;0;1;1;;
01282;OUTRIAZ;2024-01-18;0;1;1;;
01283;OYONNAX;2024-01-18;1;1;1;;
01284;OZAN;2024-01-18;1;1;1;;
01285;PARCIEUX;2024-01-18;1;1;1;;
01286;PARVES;2024-01-18;0;1;1;;
01288;PERON;2024-01-18;1;1;1;;
01289;PERONNAS;2024-01-18;1;1;1;;
01290;PEROUGES;2024-01-18;1;1;1;;
01291;PERREX;2024-01-18;1;1;1;;
01292;LE_PETIT-ABERGEMENT;2024-01-18;0;1;1;;
01293;PEYRIAT;2024-01-18;1;1;1;;
01294;PEYRIEU;2024-01-18;1;1;1;;
01295;PEYZIEUX-SUR-SAONE;2024-01-18;1;1;1;;
01296;PIRAJOUX;2024-01-18;1;1;1;;
01297;PIZAY;2024-01-18;1;1;1;;
01298;PLAGNE;2024-01-18;0;1;1;;
01299;LE_PLANTAY;2024-01-18;1;1;1;;
01300;LE_POIZAT;2024-01-18;0;1;1;;
01301;POLLIAT;2024-01-18;1;1;1;;
01302;POLLIEU;2024-01-18;0;1;1;;
01303;PONCIN;2024-01-18;1;1;1;;
01304;PONT-DAIN;2024-01-18;1;1;1;;
01305;PONT-DE-VAUX;2024-01-18;1;1;1;;
01306;PONT-DE-VEYLE;2024-01-18;1;1;1;;
01307;PORT;2024-01-18;1;1;1;;
01308;POUGNY;2024-01-18;1;1;1;;
01309;POUILLAT;2024-01-18;1;1;1;;
01310;PREMEYZEL;2024-01-18;1;1;1;;
01311;PREMILLIEU;2024-01-18;0;1;1;;
01312;PRESSIAT;2024-01-18;1;1;1;;
01313;PREVESSIN-MOENS;2024-01-18;0;1;1;;
01314;PRIAY;2024-01-18;1;1;1;;
01316;PUGIEU;2024-01-18;0;1;1;;
01317;RAMASSE;2024-01-18;1;1;1;;
01318;RANCE;2024-01-18;1;1;1;;
01319;RELEVANT;2024-01-18;1;1;1;;
01320;REPLONGES;2024-01-18;1;1;1;;
01321;REVONNAS;2024-01-18;1;1;1;;
01322;REYRIEUX;2024-01-18;1;1;1;;
01323;REYSSOUZE;2024-01-18;1;1;1;;
01325;RIGNIEUX-LE-FRANC;2024-01-18;1;1;1;;
01328;ROMANS;2024-01-18;1;1;1;;
01329;ROSSILLON;2024-01-18;0;1;1;;
01330;RUFFIEU;2024-01-18;0;1;1;;
01331;SAINT-ALBAN;2024-01-18;1;1;1;;
01332;SAINT-ANDRE-DE-BAGE;2024-01-18;1;1;1;;
01333;SAINT-ANDRE-DE-CORCY;2024-01-18;1;1;1;;
01334;SAINT-ANDRE-DHUIRIAT;2024-01-18;1;1;1;;
